,X,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,SI,GHSI,WGI,ï..iso_code,continent,Obesity_rate,Vaccinationph2,Count
5442,5547,Djibouti,12,NA,1.1895,0.5,4.213,41.285,NA,2705.406,NA,43.825,23.2,-1.35,DJI,Africa,13.5,0,0
5593,5606,Dominican Republic,12,0.03239899,8.994571429,33.42857143,6.981,222.873,0.0494,14600.861,NA,74.33714286,38.3,0.14,DOM,North America,27.6,0,0
5744,5782,Ecuador,12,0.01873239,23.89557143,134.8571429,7.104,66.939,0.074857143,10581.936,NA,93.52,50.1,0.03,ECU,South America,19.9,0,0
5897,6028,Egypt,12,0.033038245,2.471428571,30.85714286,5.159,97.999,NA,10550.206,NA,31.21714286,39.9,-1.28,EGY,Africa,32,0,0
6045,6075,El Salvador,12,NA,0.347,0.6,8.273,307.811,NA,7292.458,NA,79.63,44.2,0.04,SLV,North America,24.6,0,0
6194,6306,Equatorial Guinea,12,NA,3.240857143,1.142857143,2.846,45.194,NA,22604.873,NA,NA,16.2,-1.86,GNQ,Africa,8,0,0
6342,6461,Eritrea,12,NA,0.271,0.333333333,3.607,44.304,NA,1510.459,NA,NA,22.4,-2.18, , ,5,0,0
6498,6527,Estonia,12,NA,217.2918571,21,19.452,31.033,2.585571429,29481.252,NA,50,57,1.21,EST,Europe,21.2,0,0
6647,6778,Ethiopia,12,NA,0.066142857,0.857142857,3.526,104.957,0.002333333,1729.927,NA,35.98285714,40.6,-1.16,ETH,Africa,4.5,0,0
6802,6805,Finland,12,0.011378931,116.8487143,77.14285714,21.228,18.136,1.541428571,40585.721,NA,67.46142857,68.7,1.61,FIN,Europe,22.2,0,0
6958,7004,France,12,0.030794691,193.4248571,1916.285714,19.718,122.578,NA,38605.671,NA,87.96,68.2,1.18,FRA,Europe,21.6,0,0
7107,7182,Gabon,12,0.245833333,1.196142857,0.571428571,4.45,7.859,NA,16562.413,NA,58.19857143,20,-0.95,GAB,Africa,15,0,0
7255,7357,Gambia,12,0.5,0.422714286,0.285714286,2.339,207.566,NA,1561.767,NA,45.63285714,34.2,-0.2,GMB,Africa,10.3,0,0
7406,7465,Georgia,12,NA,12.17071429,4,14.864,65.032,NA,9745.079,NA,66.40285714,52,0.25,GEO,Asia,21.7,0,0
7562,7631,Germany,12,0.002392794,168.3615714,2380,21.453,237.016,6.04,45229.245,NA,61.30857143,66,1.42,DEU,Europe,22.3,0,0
7711,7787,Ghana,12,0.056727971,0.469571429,3,3.385,126.719,0.01,4227.63,NA,50.79428571,35.5,0.58,GHA,Africa,10.9,0,0
7862,7906,Greece,12,0.018346357,49.068,52,20.396,83.479,0.721,24574.382,NA,69.17857143,53.8,0.86,GRC,Europe,24.9,0,0
8015,8132,Guatemala,12,0.098461841,0.712428571,2.571428571,4.694,157.834,0.016142857,7423.808,NA,86.24142857,32.7,-0.34,GTM,North America,21.2,0,0
8164,8292,Guinea,12,NA,0.123571429,0.428571429,3.135,51.755,NA,1998.926,NA,18.65142857,32.7,-0.75,GIN,Africa,7.7,0,0
8459,8547,Haiti,12,NA,0.173,0.5,4.8,398.448,NA,1653.173,NA,82.41,31.5,-0.75,HTI,North America,22.7,0,0
8608,8628,Honduras,12,NA,1.821142857,3.428571429,4.652,82.805,NA,4541.795,NA,96.82571429,27.6,-0.51,HND,North America,21.4,0,0
8758,8902,Hungary,12,0.03039811,9.559857143,18.28571429,18.577,108.043,0.302142857,26777.561,NA,67.59,54,0.32,HUN,Europe,26.4,0,0
8913,8923,India,12,0.018757993,0.197571429,54.28571429,5.989,450.419,0.011,6426.674,NA,58.39571429,46.5,0.38,IND,Asia,3.9,0,0
9064,9077,Indonesia,12,0.077476465,1.359571429,63.57142857,5.319,145.725,NA,11188.744,NA,44.97285714,56.6,0.18,IDN,Asia,6.9,0,0
9216,9282,Iran,12,0.071595753,220.8228571,1151.142857,5.44,49.831,NA,19082.62,NA,52.38142857,37.7,-1.32,IRN,Asia,25.8,0,0
9368,9505,Iraq,12,0.077968676,4.594285714,20.28571429,3.186,88.125,NA,15663.986,NA,91.13285714,25.8,-0.99,IRQ,Asia,30.4,0,0
9519,9545,Ireland,12,0.005595187,129.9992857,136.5714286,13.928,69.874,1.958,67335.293,NA,48.15,59,1.32,IRL,Europe,25.3,0,0
9671,9701,Israel,12,0.001126291,73.35614286,142.5714286,11.733,402.606,1.731142857,33132.32,NA,79.89428571,47.3,0.65,ISR,Asia,26.1,0,0
9826,9945,Italy,12,0.087039029,803.1654286,5135.285714,23.021,205.859,3.547,35220.084,NA,83.99857143,56.2,1.05,ITA,Europe,19.9,0,0
9975,10112,Jamaica,12,0.059385965,5.557857143,1.285714286,9.684,266.879,NA,8193.571,NA,70.76714286,29,0.62,JAM,North America,24.7,0,0
10131,10197,Japan,12,0.034500253,8.203571429,43,27.049,347.778,0.1455,39002.223,NA,40.74,59.8,1.02,JPN,Asia,4.3,0,0
10281,10294,Jordan,12,NA,7.139428571,15.71428571,3.81,109.285,NA,8337.49,NA,90.47571429,42.1,-0.7,JOR,Asia,35.5,0,0
10430,10568,Kazakhstan,12,NA,2.481714286,7.428571429,6.991,6.681,0.235428571,24055.588,NA,71.89,40.7,-1.17,KAZ,Asia,21,0,0
10580,10727,Kenya,12,NA,0.153714286,1.857142857,2.686,87.324,0.002333333,2993.028,NA,64.55142857,47.1,-0.36,KEN,Africa,7.1,0,0
10732,10745,Kuwait,12,NA,37.88214286,9.428571429,2.345,232.128,NA,65530.537,NA,76.18714286,46.1,-0.59,KWT,Asia,37.9,0,0
10880,10888,Kyrgyzstan,12,NA,1.407333333,2.666666667,4.489,32.333,NA,3393.474,NA,65.74,49.3,-0.37,KGZ,Asia,16.6,0,0
11181,11304,Latvia,12,NA,58.66657143,20.85714286,19.754,31.212,2.538142857,25063.846,NA,57.41,62.9,0.81,LVA,Europe,23.6,0,0
11333,11402,Lebanon,12,0.021439236,33.17885714,22.42857143,8.514,594.561,NA,13367.565,NA,80.56,43.1,-0.5,LBN,Asia,32,0,0
11621,11625,Liberia,12,NA,0.862428571,1,3.057,49.127,NA,752.788,NA,44.97428571,35.1,-0.04,LBR,Africa,9.9,0,0
11771,11841,Libya,12,NA,NA,NA,4.424,3.623,NA,17881.509,NA,50.65857143,25.7,-1.52,LBY,Africa,32.5,0,0
11919,12060,Lithuania,12,NA,8.0726,11.6,19.002,45.135,0.20975,29524.265,NA,81.48,55,0.92,LTU,Europe,26.3,0,0
12067,12071,Madagascar,12,NA,0.177,3,2.929,43.951,NA,1416.44,NA,69.6775,40.1,-0.31, , ,5.3,0,0
12370,12515,Malaysia,12,0.005074038,31.149,137.8571429,6.293,96.254,1.027142857,26808.164,NA,68.25571429,62.2,-0.08,MYS,Asia,15.6,0,0
12666,12680,Mauritania,12,NA,0.361714286,0.142857143,3.138,4.289,NA,3597.633,NA,49.73714286,27.5,-0.85,MRT,Africa,12.7,0,0
12814,12883,Mauritius,12,NA,8.080333333,4,10.945,622.962,NA,20292.745,NA,41.51333333,34.9,0.76,MUS,Africa,10.8,0,0
12973,13105,Mexico,12,0.008862152,1.693857143,40.71428571,6.857,66.444,0.137428571,17336.469,NA,6.745714286,57.6,-0.01,MEX,North America,28.9,0,0
13123,13260,Moldova,12,0.016867604,19.99042857,12.28571429,10.864,123.655,NA,5189.972,NA,57.01142857,42.9,-0.11,MDA,Europe,18.9,0,0
13272,13285,Mongolia,12,NA,2.144142857,1.285714286,4.031,1.98,NA,11840.846,NA,58.33,49.5,0.26, , ,20.6,0,0
13426,13549,Morocco,12,0.036879945,2.215857143,16.28571429,6.769,80.08,0.012857143,7485.013,NA,75.66285714,43.7,-0.66,MAR,Africa,26.1,0,0
13574,13642,Mozambique,12,NA,0.03,0.5,3.158,37.728,NA,1136.103,NA,34.72,28.1,-0.47, , ,7.2,0,0
13870,13940,Namibia,12,NA,1.113142857,0.285714286,3.552,3.078,NA,9541.808,NA,50,35.6,0.49, , ,17.2,0,0
14026,14049,Nepal,12,NA,0.037571429,0.142857143,5.809,204.43,0.018166667,2442.804,NA,54.89142857,20.8,-0.13, , ,4.1,0,0
14177,14313,Netherlands,12,0.029633426,208.657,551,18.779,508.544,NA,48472.545,NA,63.62285714,35.1,1.6,NLD,Europe,20.4,0,0
14328,14395,New Zealand,12,NA,9.780285714,13.42857143,15.322,18.206,1.246428571,36085.843,NA,49.07285714,54,1.62,NZL,Oceania,30.8,0,0
14476,14507,Nicaragua,12,NA,0.2016,0.4,5.445,51.667,NA,5321.444,NA,15.74,43.1,-1.08,NIC,North America,23.7,0,0
14624,14664,Niger,12,NA,0.0665,0.75,2.553,16.955,NA,926,NA,52.78,32.2,-0.58,NER,Africa,5.5,0,0
14775,14804,Nigeria,12,0.025,0.080571429,5.428571429,2.751,209.588,NA,5338.454,NA,30.29142857,37.8,-0.41,NGA,Africa,8.9,0,0
14927,15054,Norway,12,0.003377618,362.6947143,184,16.821,14.462,NA,64800.057,NA,62.16857143,64.6,1.73,NOR,Europe,23.1,0,0
15079,15087,Oman,12,NA,10.36385714,6.285714286,2.355,14.98,NA,37960.709,NA,74.20714286,43.1,-1.03,OMN,Asia,27,0,0
15230,15346,Pakistan,12,0.005834165,2.790857143,105.1428571,4.495,255.573,0.016857143,5034.708,NA,58.20428571,35.5,-0.8,PAK,Asia,8.6,0,0
15380,15509,Palestine,12,NA,8.979428571,3,3.043,778.202,NA,4449.898,NA,80.42142857,21.9,NA,PSE,Asia,NA,0,0
15530,15529,Panama,12,0.010652887,40.797,41.42857143,7.918,55.133,0.511714286,22267.037,NA,57.67142857,43.7,0.58,PAN,North America,22.7,0,0
15678,15823,Papua New Guinea,12,NA,0.099,0.25,3.808,18.22,NA,3823.194,NA,23.6075,27.8,0.04, , ,21.3,0,0
15828,15874,Paraguay,12,0.05513468,2.612285714,2.571428571,6.378,17.144,0.038857143,8827.01,NA,65.21285714,35.7,0.05,PRY,South America,20.3,0,0
15978,16108,Peru,12,0.094812894,7.577,44.14285714,7.151,25.129,NA,12236.706,NA,93.91142857,49.2,0.23,PER,South America,19.47,0,0
16133,16256,Philippines,12,0.073419958,2.453857143,45.71428571,4.803,351.873,NA,7599.188,NA,94.84,47.6,0.04,PHL,Asia,6.4,0,0
16283,16401,Poland,12,0.013975459,11.42642857,81.71428571,16.763,124.027,0.168,27216.445,NA,57.41,55.4,0.72,POL,Europe,23.1,0,0
16434,16549,Portugal,12,0.006527212,106.2785714,247,21.502,112.371,1.773285714,27936.896,NA,75.53142857,60.3,1.2,PRT,Europe,20.8,0,0
16585,16603,Puerto Rico,12,NA,NA,NA,15.168,376.232,0.101285714,35044.67,NA,NA,NA,0.49,PRI,North America,NA,0,0
16708,16836,Qatar,12,NA,174.7597143,8.857142857,1.307,227.322,NA,116935.6,NA,68.25571429,41.2,-1.2,QAT,Asia,35.1,0,0
16859,16986,Romania,12,0.009540592,17.47614286,59.71428571,17.85,85.129,0.141,23313.199,NA,65.47428571,45.8,0.46,ROU,Europe,22.5,0,0
17014,17126,Russia,12,0.003450714,1.800714286,49.71428571,14.178,8.823,1.054,24765.954,NA,59.85428571,44.3,-1.06,RUS,Europe,23.1,0,0
17163,17291,Rwanda,12,NA,1.161428571,4.428571429,2.974,494.869,NA,1854.211,NA,62.63,34.2,-1.13, , ,5.8,0,0
17314,17332,Saudi Arabia,12,NA,9.515142857,63.42857143,3.295,15.322,1.386,49045.411,NA,74.34,49.3,-1.64,SAU,Asia,35.4,0,0
17465,17578,Senegal,12,NA,2.631428571,7.857142857,3.008,82.328,0.013571429,2470.58,NA,50.39714286,37.9,0.24,SEN,Africa,8.8,0,0
17616,17758,Serbia,12,0.008578141,21.37157143,27.71428571,17.366,80.291,0.086571429,14048.881,NA,87.30142857,52.3,NA,SRB,Europe,21.5,0,0
17918,17944,Singapore,12,0.004318169,68.55185714,38,12.922,7915.731,NA,85535.383,NA,36.11,58.7,-0.06,SGP,Asia,6.1,0,0
18068,18211,Slovakia,12,NA,22.65571429,17.71428571,15.07,113.128,0.523571429,30155.152,NA,75,47.9,0.88,SVK,Europe,20.5,0,0
18223,18251,Slovenia,12,0.003990142,162.8154286,27,19.062,102.619,5.546428571,31400.84,NA,69.17857143,67.2,0.99,SVN,Europe,20.2,0,0
18372,18489,Somalia,12,NA,0.057,0,2.731,23.5,NA,NA,NA,37.30285714,16.6,-1.83,SOM,Africa,8.3,0,0
18526,18554,South Africa,12,NA,3.449,48.57142857,5.344,46.754,0.112571429,12294.876,NA,53.17857143,54.8,0.66,ZAF,Africa,28.3,0,0
18682,18820,South Korea,12,0.011082221,167.2712857,103.5714286,13.914,527.967,6.047142857,35938.374,NA,63.36285714,70.2,-2.2,KOR,Asia,4.7,0,0
18983,19011,Spain,12,0.052717769,460.511,3599.142857,19.436,93.105,1.475142857,34272.36,NA,71.76,65.9,1.06,ESP,Europe,23.8,0,0
19139,19207,Sri Lanka,12,NA,3.167,9.857142857,10.069,341.955,0.042428571,11669.077,NA,84.26,33.9,0.01,LKA,Asia,5.2,0,0
19288,19402,Sudan,12,0.785714286,0.030428571,0.142857143,3.548,23.258,NA,4466.507,NA,57.80285714,26.2,-1.84,SDN,Africa,8.6,0,0
19443,19583,Sweden,12,0.023001417,162.2715714,146,19.985,24.718,NA,46949.283,NA,45.63428571,72.1,1.61,SWE,Europe,20.6,0,0
19594,19626,Switzerland,12,0.015098502,620.1202857,942.1428571,18.436,214.243,NA,57410.166,NA,73.15,67,1.62,CHE,Europe,15.6,0,0
19742,19774,Syria,12,NA,0.045,0.5,NA,NA,NA,NA,NA,66.665,19.9,-1.96,SYR,Asia,NA,0,0
19899,20035,Taiwan,12,0.011746245,5.602142857,18.28571429,NA,NA,0.939571429,NA,NA,30.68571429,NA,0.98,TWN,Asia,NA,0,0
20190,20307,Tanzania,12,NA,0.100428571,1.571428571,3.108,64.699,NA,2683.304,NA,33.59571429,36.4,-0.36,TZA,Africa,8.4,0,0
20349,20373,Thailand,12,0.003234037,5.407714286,82,11.373,135.132,0.490428571,16277.671,NA,48.87285714,73.2,-1.01,THA,Asia,10,0,0
20497,20638,Timor,12,NA,0.746,0.5,3.556,87.176,NA,6570.102,NA,22.225,26,0.34, , ,3.8,0,0
20647,20680,Togo,12,NA,1.000857143,2.428571429,2.839,143.366,0.177,1429.813,NA,48.80714286,32.5,-0.74,TGO,Africa,8.4,0,0
20796,20869,Trinidad and Tobago,12,NA,16.79514286,6.714285714,10.014,266.886,NA,28763.071,NA,58.33571429,36.6,0.57,TTO,North America,18.6,0,0
20946,21020,Tunisia,12,0.026906815,4.277714286,9.857142857,8.001,74.228,NA,10849.297,NA,67.46142857,33.7,0.21,TUN,Africa,26.9,0,0
21095,21128,Turkey,12,0.017164463,6.915142857,215.8571429,8.153,104.914,NA,25129.341,NA,59.12714286,52.4,-0.83,TUR,Asia,32.1,0,0
21243,21358,Uganda,12,NA,0.077333333,3,2.168,213.759,NA,1697.707,NA,46.29333333,44.3,-0.67, , ,5.3,0,0
21393,21507,Ukraine,12,0.094312019,0.957285714,9.428571429,16.462,77.39,NA,7894.393,NA,87.30285714,38,-0.01,UKR,Europe,24.1,0,0
21548,21659,United Arab Emirates,12,0.012632629,15.05585714,14.28571429,1.144,112.442,12.98925,67293.483,NA,47.75142857,46.7,-1.11,ARE,Asia,31.7,0,0
21703,21704,United Kingdom,12,0.064334306,118.7715714,1283.428571,18.517,272.898,NA,39753.244,NA,44.24571429,77.9,1.38,GBR,Europe,27.8,0,0
21859,21859,United States,12,0.018917491,66.063,5916.714286,15.413,35.608,0.978142857,54225.446,NA,66.07285714,83.5,1.04,USA,North America,36.2,0,0
22008,22151,Uruguay,12,NA,32.88871429,19,14.655,19.751,0.0905,20551.409,NA,54.63,41.3,1.21,URY,South America,27.9,0,0
22157,22190,Uzbekistan,12,NA,0.878714286,5.714285714,4.469,76.134,NA,6253.104,NA,61.77285714,34.3,-1.62,UZB,Asia,16.6,0,0
22306,22421,Venezuela,12,NA,1.867571429,8.571428571,6.614,36.253,NA,16745.022,NA,82.01285714,23,-1.41,VEN,South America,25.6,0,0
22462,22462,Vietnam,12,NA,0.941428571,8.857142857,7.15,308.127,NA,6171.884,NA,48.01428571,49.1,-1.45, , ,2.1,0,0
22755,22775,Zambia,12,NA,0.116666667,0.5,2.48,22.995,0.003,3689.251,NA,24.07666667,28.7,-0.32,ZMB,Africa,NA,0,0
22903,22923,Zimbabwe,12,0.333333333,0.15325,0.75,2.822,42.729,NA,1899.775,NA,32.1775,38.2,-1.13,ZWE,Africa,15.5,0,0
6,147,Afghanistan,13,0.024763489,2.157,10.57142857,2.581,54.422,NA,1803.987,NA,61.64,32.3,-0.99,AFG,Asia,5.5,0,0
157,211,Albania,13,0.042807011,63.37914286,17,13.188,104.871,0.408833333,11803.431,NA,84.26,52.9,0.21,ALB,Europe,21.7,0,0
308,318,Algeria,13,0.065381316,9.197571429,50.57142857,6.211,17.348,NA,13913.839,NA,76.65285714,23.6,-0.98,DZA,Africa,27.4,0,0
456,504,Angola,13,0.285714286,0.132285714,0.571428571,2.405,23.89,NA,5819.495,NA,66.13571429,25.2,-0.92,AGO,Africa,8.2,0,0
615,743,Argentina,13,0.0222592,12.93271429,74.14285714,11.198,16.177,0.108285714,18933.907,NA,100,58.6,0.57,ARG,South America,28.3,0,0
770,809,Armenia,13,0.004448866,125.6724286,35.28571429,11.232,102.931,0.803285714,8787.58,NA,NA,50.2,-0.11,ARM,Asia,20.2,0,0
926,1004,Australia,13,0.003974415,121.948,382.7142857,15.504,3.202,7.519428571,44648.71,NA,71.3,75.5,1.43,AUS,Oceania,20.1,0,0
1077,1114,Austria,13,0.010855495,713.725,751.7142857,19.202,106.749,NA,45436.686,NA,81.48,58.5,1.38,AUT,Europe,29,0,0
1228,1339,Azerbaijan,13,0.018791486,15.59842857,28.71428571,6.018,119.309,NA,15847.419,NA,68.52,34.2,-1.5,AZE,Asia,19.9,0,0
1380,1432,Bahrain,13,0.008386186,312.9348571,19.71428571,2.372,1935.907,21.41866667,43290.705,NA,74.46857143,39.4,-1.41,BHR,Asia,29.8,0,0
1530,1579,Bangladesh,13,0.108420916,0.262714286,2.285714286,5.098,1265.036,NA,3523.984,NA,83.59857143,35,-0.73,BGD,Asia,3.6,0,0
1681,1720,Belarus,13,NA,10.29257143,10.14285714,14.799,46.858,3.132,17167.967,NA,8.33,35.3,-1.35,BLR,Europe,24.5,0,0
1835,1968,Belgium,13,0.037303942,669.114,1165.142857,18.571,375.564,4.418428571,42658.576,NA,81.48,61,1.4,BEL,Europe,22.1,0,0
1984,2069,Benin,13,NA,0.449,0.142857143,3.244,99.11,NA,2064.236,NA,33.93,28.8,0.27,BEN,Africa,9.6,0,0
2133,2135,Bolivia,13,0.026791396,4.873285714,10,6.704,10.202,0.0475,6885.829,NA,93.52,35.8,-0.04,BOL,South America,20.2,0,0
2283,2326,Bosnia and Herzegovina,13,0.018975971,75.94557143,33.14285714,16.569,68.496,NA,11713.895,NA,85.84571429,42.8,-0.24,BIH,Europe,17.9,0,0
2430,2573,Botswana,13,NA,1.141,3,3.941,4.044,NA,15807.374,NA,61.11,31.1,0.47,BWA,Africa,18.9,0,0
2581,2624,Brazil,13,0.027343373,15.88542857,379.2857143,8.552,25.04,NA,14103.452,NA,73.34857143,59.7,0.39,BRA,South America,22.1,0,0
2731,2745,Bulgaria,13,0.016330607,43.24514286,22.57142857,20.801,65.18,NA,18563.307,NA,73.15,45.6,0.32,BGR,Europe,25,0,0
2880,2986,Burkina Faso,13,0.044930321,7.982857143,21,2.409,70.151,NA,1703.102,NA,84.26,30.1,-0.04,BFA,Africa,5.6,0,0
3182,3248,Cambodia,13,NA,5.887,2.857142857,4.412,90.672,NA,3645.07,NA,60.18571429,39.2,-1.22, , ,3.9,0,0
3332,3428,Cameroon,13,0.026158941,3.459428571,11.85714286,3.165,50.885,NA,3364.926,NA,57.41,34.4,-1.1,CMR,Africa,11.4,0,0
3488,3552,Canada,13,0.010774967,169.0018571,882.8571429,16.984,4.037,3.308142857,44017.591,NA,74.54,75.3,1.52,CAN,North America,29.4,0,0
3637,3707,Central African Republic,13,NA,0.538,0,3.655,7.479,NA,661.24,NA,52.11714286,27.3,-1.19, , ,7.5,0,0
3785,3800,Chad,13,NA,0.185142857,0.571428571,2.486,11.833,NA,1768.153,NA,27.78,28.8,-1.45, , ,6.1,0,0
3937,4013,Chile,13,0.002817456,87.55628571,250.5714286,11.087,24.282,0.782833333,22767.037,NA,70.10714286,58.3,1.05,CHL,South America,28,0,0
4093,4201,China,13,0.040551949,57.044,51.42857143,10.641,147.674,NA,15308.712,NA,77.57857143,48.2,-1.45,CHN,Asia,6.2,0,0
4243,4326,Colombia,13,0.011278551,10.97714286,74.42857143,7.646,44.223,NA,13254.949,NA,83.06571429,44.2,0.19,COL,South America,22.3,0,0
4392,4474,Congo,13,NA,1.387714286,2.142857143,3.402,15.405,NA,4881.406,NA,44.84428571,23.6,-1.18,COG,Africa,9.6,0,0
4542,4623,Costa Rica,13,0.008103136,49.93671429,24.57142857,9.468,96.079,0.522428571,15524.995,NA,71.3,45.1,1.14,CRI,North America,25.7,0,0
4691,4771,Cote d'Ivoire,13,0.006006494,3.977285714,20.42857143,2.933,76.399,NA,3601.006,NA,80.56,35.5,-0.22,CIV,Africa,10.3,0,0
4842,4860,Croatia,13,0.005668677,144.085,67.85714286,19.724,73.726,1.170857143,22669.797,NA,96.3,53.3,0.5,HRV,Europe,24.4,0,0
4991,5135,Cuba,13,0.02336431,8.664,18.57142857,14.738,110.408,0.127285714,NA,NA,66.67,35.2,-1.44,CUB,North America,24.6,0,0
5140,5215,Democratic Republic of Congo,13,0.069591284,0.585571429,6.428571429,3.02,35.879,NA,808.133,NA,77.78,26.5,-1.51,COD,Africa,6.7,0,0
5295,5373,Denmark,13,0.025223985,349.9871429,161,19.677,136.52,3.528714286,46682.515,NA,72.22,70.4,1.61,DNK,Europe,19.7,0,0
5443,5573,Djibouti,13,NA,11.08857143,2.142857143,4.213,41.285,NA,2705.406,NA,94.44,23.2,-1.35,DJI,Africa,13.5,0,0
5594,5648,Dominican Republic,13,0.032945095,54.09571429,93.71428571,6.981,222.873,0.196,14600.861,NA,92.59,38.3,0.14,DOM,North America,27.6,0,0
5745,5824,Ecuador,13,0.026097903,86.99514286,140.1428571,7.104,66.939,0.211857143,10581.936,NA,93.52,50.1,0.03,ECU,South America,19.9,0,0
5898,5956,Egypt,13,0.055848617,4.800857143,41.42857143,5.159,97.999,NA,10550.206,NA,79.63,39.9,-1.28,EGY,Africa,32,0,0
6046,6185,El Salvador,13,NA,2.547857143,3.857142857,8.273,307.811,NA,7292.458,NA,88.89,44.2,0.04,SLV,North America,24.6,0,0
6195,6250,Equatorial Guinea,13,NA,6.653,0.428571429,2.846,45.194,NA,22604.873,NA,NA,16.2,-1.86,GNQ,Africa,8,0,0
6343,6458,Eritrea,13,NA,1.822571429,1.571428571,3.607,44.304,NA,1510.459,NA,NA,22.4,-2.18, , ,5,0,0
6499,6592,Estonia,13,0.002706261,422.8411429,51.85714286,19.452,31.033,7.165142857,29481.252,NA,67.46,57,1.21,EST,Europe,21.2,0,0
6648,6734,Ethiopia,13,NA,0.129571429,1.714285714,3.526,104.957,0.006666667,1729.927,NA,56.88,40.6,-1.16,ETH,Africa,4.5,0,0
6803,6896,Finland,13,0.019119915,231.2738571,91.71428571,21.228,18.136,3.379285714,40585.721,NA,70.10857143,68.7,1.61,FIN,Europe,22.2,0,0
6959,7028,France,13,0.059245245,489.4342857,3500,19.718,122.578,NA,38605.671,NA,87.96,68.2,1.18,FRA,Europe,21.6,0,0
7108,7111,Gabon,13,0.149659864,2.810571429,0.285714286,4.45,7.859,NA,16562.413,NA,70.37,20,-0.95,GAB,Africa,15,0,0
7256,7328,Gambia,13,0.30952381,1.214428571,0.285714286,2.339,207.566,NA,1561.767,NA,69.17714286,34.2,-0.2,GMB,Africa,10.3,0,0
7407,7548,Georgia,13,NA,22.54814286,6,14.864,65.032,NA,9745.079,NA,90.21142857,52,0.25,GEO,Asia,21.7,0,0
7563,7614,Germany,13,0.006045286,507.5714286,4946.571429,21.453,237.016,10.568,45229.245,NA,76.85,66,1.42,DEU,Europe,22.3,0,0
7712,7714,Ghana,13,0.034499597,3.670142857,17.85714286,3.385,126.719,0.077,4227.63,NA,57.27714286,35.5,0.58,GHA,Africa,10.9,0,0
7863,7932,Greece,13,0.02829301,87.97085714,65.85714286,20.396,83.479,1.252666667,24574.382,NA,84.26,53.8,0.86,GRC,Europe,24.9,0,0
8016,8162,Guatemala,13,0.035943044,1.617,2.285714286,4.694,157.834,0.040142857,7423.808,NA,93.52,32.7,-0.34,GTM,North America,21.2,0,0
8165,8207,Guinea,13,NA,0.680285714,2.571428571,3.135,51.755,NA,1998.926,NA,52.51428571,32.7,-0.75,GIN,Africa,7.7,0,0
8312,8371,Guinea-Bissau,13,NA,1.424833333,1.333333333,3.002,66.191,NA,1548.675,NA,NA,20,-0.67, , ,9.5,0,0
8460,8572,Haiti,13,NA,0.715428571,1.857142857,4.8,398.448,NA,1653.173,NA,82.41,31.5,-0.75,HTI,North America,22.7,0,0
8609,8667,Honduras,13,0.024419081,7.257428571,15.57142857,4.652,82.805,NA,4541.795,NA,100,27.6,-0.51,HND,North America,21.4,0,0
8759,8797,Hungary,13,0.037359057,31.13042857,40,18.577,108.043,0.946714286,26777.561,NA,72.08857143,54,0.32,HUN,Europe,26.4,0,0
8914,8948,India,13,0.023320374,0.611857143,107.4285714,5.989,450.419,0.017666667,6426.674,NA,98.08142857,46.5,0.38,IND,Asia,3.9,0,0
9065,9144,Indonesia,13,0.083917195,3.769,119.2857143,5.319,145.725,NA,11188.744,NA,48.94428571,56.6,0.18,IDN,Asia,6.9,0,0
9217,9293,Iran,13,0.072969688,369.0837143,2635.142857,5.44,49.831,NA,19082.62,NA,57.41,37.7,-1.32,IRN,Asia,25.8,0,0
9369,9405,Iraq,13,0.083376775,10.22571429,52,3.186,88.125,NA,15663.986,NA,95.76857143,25.8,-0.99,IRQ,Asia,30.4,0,0
9520,9638,Ireland,13,0.011841959,420.144,255,13.928,69.874,4.568714286,67335.293,NA,69.31571429,59,1.32,IRL,Europe,25.3,0,0
9672,9752,Israel,13,0.00317104,355.9107143,532.8571429,11.733,402.606,4.952714286,33132.32,NA,81.48,47.3,0.65,ISR,Asia,26.1,0,0
9827,9901,Italy,13,0.105663995,1458.030143,5401.714286,23.021,205.859,6.601428571,35220.084,NA,85.19,56.2,1.05,ITA,Europe,19.9,0,0
9976,10013,Jamaica,13,0.036480682,9.953857143,2.428571429,9.684,266.879,0.080666667,8193.571,NA,74.86714286,29,0.62,JAM,North America,24.7,0,0
10132,10208,Japan,13,0.033502518,12.808,122.4285714,27.049,347.778,0.208333333,39002.223,NA,40.74,59.8,1.02,JPN,Asia,4.3,0,0
10282,10360,Jordan,13,0.009640022,19.56914286,20.14285714,3.81,109.285,NA,8337.49,NA,100,42.1,-0.7,JOR,Asia,35.5,0,0
10431,10471,Kazakhstan,13,0.004471254,9.043857143,34.28571429,6.991,6.681,0.794714286,24055.588,NA,82.20714286,40.7,-1.17,KAZ,Asia,21,0,0
10581,10620,Kenya,13,0.026928288,0.647714286,4.857142857,2.686,87.324,0.016,2993.028,NA,80.68857143,47.1,-0.36,KEN,Africa,7.1,0,0
10733,10813,Kuwait,13,NA,52.70685714,11,2.345,232.128,NA,65530.537,NA,81.48,46.1,-0.59,KWT,Asia,37.9,0,0
10881,10882,Kyrgyzstan,13,NA,9.135,11.14285714,4.489,32.333,NA,3393.474,NA,88.88857143,49.3,-0.37,KGZ,Asia,16.6,0,0
