,X,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,SI,GHSI,WGI,ï..iso_code,continent,Obesity_rate,Vaccinationph2,Count
17865,17832,Sierra Leone,115,0.01630789,890.686,0,2.538,104.7,NA,1390.3,21.08,45.83,38.2,-0.18,SLE,Africa,8.7,21.08,0
2086,2057,Benin,115,0.006135167,1989.697,1.142857,3.244,99.11,NA,2064.236,NA,38.92,28.8,0.27,BEN,Africa,9.6,20.88,0
6750,6705,Ethiopia,115,0.01592088,3798.995,40.85714,3.526,104.957,37.41667,1729.927,19.66857,40.74,40.6,-1.16,ETH,Africa,4.5,19.66857,0
11724,11642,Liberia,115,0.03963854,1390.561,3.428571,3.057,49.127,NA,752.788,NA,44.19,35.1,-0.04,LBR,Africa,9.9,16.6,0
3739,3701,Central African Republic,115,0.00795288,2546.753,5.428571,3.655,7.479,15.683,661.24,15.34,24.07,27.3,-1.19, , ,7.5,15.34,0
19845,19769,Syria,115,0.05635723,2466.091,94.57143,NA,NA,7.324,NA,14.76,28.97,19.9,-1.96,SYR,Asia,NA,14.76,0
5545,5529,Djibouti,115,0.01215657,13870.84,0.5714286,4.213,41.285,257.4927,2705.406,14.34,52.78,23.2,-1.35,DJI,Africa,13.5,14.34,0
22858,22770,Zambia,115,0.01263329,15629.11,182.2857,2.48,22.995,167.9876,3689.251,14.27667,13.89,28.7,-0.32,ZMB,Africa,NA,14.27667,0
4494,4511,Congo,115,0.0157518,4019.357,7.571429,3.402,15.405,NA,4881.406,NA,36.59714,23.6,-1.18,COG,Africa,9.6,13.61,0
108,28,Afghanistan,115,0.04376985,4221.758,166.7143,2.581,54.422,22.181,1803.987,13.46,19.44,32.3,-0.99,AFG,Asia,5.5,13.46,0
7358,7296,Gambia,115,0.03058527,4410.155,3.428571,2.339,207.566,54.801,1561.767,NA,13.89,34.2,-0.2,GMB,Africa,10.3,13.38,0
19391,19397,Sudan,115,0.06356303,1310.925,25.42857,3.548,23.258,NA,4466.507,NA,9.918571,26.2,-1.84,SDN,Africa,8.6,12.18,0
14878,14839,Nigeria,115,0.01234378,1164.728,25.42857,2.751,209.588,20.82,5338.454,12.13,36.01,37.8,-0.41,NGA,Africa,8.9,12.13,0
17568,17573,Senegal,115,0.0228733,4948.44,13.14286,3.008,82.328,61.18314,2470.58,NA,26.85,37.9,0.24,SEN,Africa,8.8,11.92,0
